📊 DATASET LOADED | Mode: TRAIN | Samples: 203742
📊 DATASET LOADED | Mode: VAL | Samples: 43659
Epoch 1 | Train Loss: -13209.4314 | Val Acc: 0.00
Epoch 2 | Train Loss: -197783.4485 | Val Acc: 0.00
Epoch 3 | Train Loss: -826365.7209 | Val Acc: 0.00
Epoch 4 | Train Loss: -2111902.2469 | Val Acc: 0.00
Epoch 5 | Train Loss: -4187098.4981 | Val Acc: 0.00
Epoch 6 | Train Loss: -7127831.7889 | Val Acc: 0.00
Epoch 7 | Train Loss: -11002702.3618 | Val Acc: 0.00
Epoch 8 | Train Loss: -15864677.0578 | Val Acc: 0.00
Epoch 9 | Train Loss: -21747112.0201 | Val Acc: 0.00
Epoch 10 | Train Loss: -28707168.1357 | Val Acc: 0.00
Epoch 11 | Train Loss: -36802639.1206 | Val Acc: 0.00
Epoch 12 | Train Loss: -46059611.6583 | Val Acc: 0.00
Epoch 13 | Train Loss: -56527049.4472 | Val Acc: 0.00
Epoch 14 | Train Loss: -68248920.9749 | Val Acc: 0.00
Epoch 15 | Train Loss: -81264194.7940 | Val Acc: 0.00
Epoch 16 | Train Loss: -95613171.8995 | Val Acc: 0.00
Epoch 17 | Train Loss: -111336697.3668 | Val Acc: 0.00
Epoch 18 | Train Loss: -128578334.5729 | Val Acc: 0.00
Epoch 19 | Train Loss: -147193600.8040 | Val Acc: 0.00
Epoch 20 | Train Loss: -167354358.2312 | Val Acc: 0.00
Epoch 21 | Train Loss: -189125587.0553 | Val Acc: 0.00
Epoch 22 | Train Loss: -212505521.1256 | Val Acc: 0.00
Epoch 23 | Train Loss: -237564809.2864 | Val Acc: 0.00
Epoch 24 | Train Loss: -264425383.3166 | Val Acc: 0.00
Epoch 25 | Train Loss: -292858104.6834 | Val Acc: 0.00
Epoch 26 | Train Loss: -323214941.8291 | Val Acc: 0.00
Epoch 27 | Train Loss: -355321431.2362 | Val Acc: 0.00
Epoch 28 | Train Loss: -389405474.0905 | Val Acc: 0.00
Epoch 29 | Train Loss: -425321403.1759 | Val Acc: 0.00
Epoch 30 | Train Loss: -463465413.9497 | Val Acc: 0.00
Epoch 31 | Train Loss: -503536029.1055 | Val Acc: 0.00
Epoch 32 | Train Loss: -545679151.5176 | Val Acc: 0.00
Epoch 33 | Train Loss: -589910422.0302 | Val Acc: 0.00
Epoch 34 | Train Loss: -636432719.0352 | Val Acc: 0.00
Epoch 35 | Train Loss: -685210980.0201 | Val Acc: 0.00
Epoch 36 | Train Loss: -736210445.1859 | Val Acc: 0.00
Epoch 37 | Train Loss: -789207899.4975 | Val Acc: 0.00
Epoch 38 | Train Loss: -845302368.3216 | Val Acc: 0.00
Epoch 39 | Train Loss: -903236020.4221 | Val Acc: 0.00
Epoch 40 | Train Loss: -963221209.5678 | Val Acc: 0.00
Epoch 41 | Train Loss: -1026303231.6784 | Val Acc: 0.00
Epoch 42 | Train Loss: -1091884882.0101 | Val Acc: 0.00
Epoch 43 | Train Loss: -1159943506.0101 | Val Acc: 0.00
Epoch 44 | Train Loss: -1230710442.4523 | Val Acc: 0.00
Epoch 45 | Train Loss: -1304281424.7236 | Val Acc: 0.00
Epoch 46 | Train Loss: -1380289200.5628 | Val Acc: 0.00
Epoch 47 | Train Loss: -1459163758.6332 | Val Acc: 0.00
Epoch 48 | Train Loss: -1540641113.7286 | Val Acc: 0.00
Epoch 49 | Train Loss: -1625492399.9196 | Val Acc: 0.00
Epoch 50 | Train Loss: -1713125763.8593 | Val Acc: 0.00
