📊 DATASET LOADED | Mode: TRAIN | Samples: 203742
📊 DATASET LOADED | Mode: VAL | Samples: 43659
Epoch 1 | Loss: -77.2194 | Acc: 0.00 | Val Acc: 0.00
Epoch 2 | Loss: -513.9802 | Acc: 0.00 | Val Acc: 0.00
Epoch 3 | Loss: -1592.6586 | Acc: 0.00 | Val Acc: 0.00
Epoch 4 | Loss: -3589.4255 | Acc: 0.00 | Val Acc: 0.00
Epoch 5 | Loss: -6729.7777 | Acc: 0.00 | Val Acc: 0.00
Epoch 6 | Loss: -11203.9538 | Acc: 0.00 | Val Acc: 0.00
Epoch 7 | Loss: -17145.3211 | Acc: 0.00 | Val Acc: 0.00
Epoch 8 | Loss: -24687.5303 | Acc: 0.00 | Val Acc: 0.00
Epoch 9 | Loss: -34032.5859 | Acc: 0.00 | Val Acc: 0.00
Epoch 10 | Loss: -45667.6553 | Acc: 0.00 | Val Acc: 0.00
Epoch 11 | Loss: -59950.6330 | Acc: 0.00 | Val Acc: 0.00
Epoch 12 | Loss: -76265.1993 | Acc: 0.00 | Val Acc: 0.00
Epoch 13 | Loss: -95756.9499 | Acc: 0.00 | Val Acc: 0.00
Epoch 14 | Loss: -118729.0895 | Acc: 0.00 | Val Acc: 0.00
Epoch 15 | Loss: -144560.7124 | Acc: 0.00 | Val Acc: 0.00
Epoch 16 | Loss: -174447.5944 | Acc: 0.00 | Val Acc: 0.00
Epoch 17 | Loss: -210326.1461 | Acc: 0.00 | Val Acc: 0.00
Epoch 18 | Loss: -255420.7536 | Acc: 0.00 | Val Acc: 0.00
Epoch 19 | Loss: -306506.4569 | Acc: 0.00 | Val Acc: 0.00
Epoch 20 | Loss: -363938.7301 | Acc: 0.00 | Val Acc: 0.00
Epoch 21 | Loss: -427461.5879 | Acc: 0.00 | Val Acc: 0.00
Epoch 22 | Loss: -495229.7551 | Acc: 0.00 | Val Acc: 0.00
Epoch 23 | Loss: -568736.8473 | Acc: 0.00 | Val Acc: 0.00
Epoch 24 | Loss: -649430.0857 | Acc: 0.00 | Val Acc: 0.00
Epoch 25 | Loss: -737055.6457 | Acc: 0.00 | Val Acc: 0.00
Epoch 26 | Loss: -830402.3653 | Acc: 0.00 | Val Acc: 0.00
Epoch 27 | Loss: -930673.2117 | Acc: 0.00 | Val Acc: 0.00
Epoch 28 | Loss: -1039369.5691 | Acc: 0.00 | Val Acc: 0.00
Epoch 29 | Loss: -1153702.3660 | Acc: 0.00 | Val Acc: 0.00
Epoch 30 | Loss: -1277973.9931 | Acc: 0.00 | Val Acc: 0.00
Epoch 31 | Loss: -1409946.0564 | Acc: 0.00 | Val Acc: 0.00
Epoch 32 | Loss: -1549657.7403 | Acc: 0.00 | Val Acc: 0.00
Epoch 33 | Loss: -1699671.2316 | Acc: 0.00 | Val Acc: 0.00
Epoch 34 | Loss: -1860348.7128 | Acc: 0.00 | Val Acc: 0.00
Epoch 35 | Loss: -2026968.1319 | Acc: 0.00 | Val Acc: 0.00
Epoch 36 | Loss: -2205949.1415 | Acc: 0.00 | Val Acc: 0.00
Epoch 37 | Loss: -2396538.4761 | Acc: 0.00 | Val Acc: 0.00
Epoch 38 | Loss: -2596370.5206 | Acc: 0.00 | Val Acc: 0.00
Epoch 39 | Loss: -2808409.6614 | Acc: 0.00 | Val Acc: 0.00
Epoch 40 | Loss: -3030265.0996 | Acc: 0.00 | Val Acc: 0.00
Epoch 41 | Loss: -3262602.7871 | Acc: 0.00 | Val Acc: 0.00
Epoch 42 | Loss: -3510287.2965 | Acc: 0.00 | Val Acc: 0.00
Epoch 43 | Loss: -3767027.2550 | Acc: 0.00 | Val Acc: 0.00
Epoch 44 | Loss: -4041013.8263 | Acc: 0.00 | Val Acc: 0.00
Epoch 45 | Loss: -4323995.8266 | Acc: 0.00 | Val Acc: 0.00
Epoch 46 | Loss: -4620031.4548 | Acc: 0.00 | Val Acc: 0.00
Epoch 47 | Loss: -4932360.1171 | Acc: 0.00 | Val Acc: 0.00
Epoch 48 | Loss: -5258045.4953 | Acc: 0.00 | Val Acc: 0.00
Epoch 49 | Loss: -5601995.8505 | Acc: 0.00 | Val Acc: 0.00
Epoch 50 | Loss: -5953247.3090 | Acc: 0.00 | Val Acc: 0.00
