📊 DATASET LOADED | Mode: TRAIN | Samples: 203742
📊 DATASET LOADED | Mode: VAL | Samples: 43659
Epoch 1 | Loss: 0.6942 | Acc: 0.50 | Val Acc: 0.51
Epoch 2 | Loss: 0.6932 | Acc: 0.51 | Val Acc: 0.50
Epoch 3 | Loss: 0.6926 | Acc: 0.51 | Val Acc: 0.51
Epoch 4 | Loss: 0.6923 | Acc: 0.51 | Val Acc: 0.51
Epoch 5 | Loss: 0.6917 | Acc: 0.52 | Val Acc: 0.52
Epoch 6 | Loss: 0.6909 | Acc: 0.52 | Val Acc: 0.51
Epoch 7 | Loss: 0.6898 | Acc: 0.53 | Val Acc: 0.51
Epoch 8 | Loss: 0.6886 | Acc: 0.53 | Val Acc: 0.52
Epoch 9 | Loss: 0.6873 | Acc: 0.53 | Val Acc: 0.51
Epoch 10 | Loss: 0.6859 | Acc: 0.53 | Val Acc: 0.52
Epoch 11 | Loss: 0.6837 | Acc: 0.54 | Val Acc: 0.52
Epoch 12 | Loss: 0.6819 | Acc: 0.54 | Val Acc: 0.52
Epoch 13 | Loss: 0.6797 | Acc: 0.55 | Val Acc: 0.52
Epoch 14 | Loss: 0.6775 | Acc: 0.55 | Val Acc: 0.52
Epoch 15 | Loss: 0.6751 | Acc: 0.56 | Val Acc: 0.52
Epoch 16 | Loss: 0.6720 | Acc: 0.56 | Val Acc: 0.53
Epoch 17 | Loss: 0.6695 | Acc: 0.57 | Val Acc: 0.53
Epoch 18 | Loss: 0.6664 | Acc: 0.57 | Val Acc: 0.53
Epoch 19 | Loss: 0.6632 | Acc: 0.58 | Val Acc: 0.53
Epoch 20 | Loss: 0.6606 | Acc: 0.58 | Val Acc: 0.53
Epoch 21 | Loss: 0.6561 | Acc: 0.58 | Val Acc: 0.53
Epoch 22 | Loss: 0.6538 | Acc: 0.59 | Val Acc: 0.53
Epoch 23 | Loss: 0.6500 | Acc: 0.59 | Val Acc: 0.54
Epoch 24 | Loss: 0.6458 | Acc: 0.60 | Val Acc: 0.54
Epoch 25 | Loss: 0.6419 | Acc: 0.60 | Val Acc: 0.54
Epoch 26 | Loss: 0.6382 | Acc: 0.61 | Val Acc: 0.54
Epoch 27 | Loss: 0.6350 | Acc: 0.61 | Val Acc: 0.54
Epoch 28 | Loss: 0.6310 | Acc: 0.62 | Val Acc: 0.54
Epoch 29 | Loss: 0.6271 | Acc: 0.62 | Val Acc: 0.54
Epoch 30 | Loss: 0.6229 | Acc: 0.63 | Val Acc: 0.54
Epoch 31 | Loss: 0.6187 | Acc: 0.63 | Val Acc: 0.55
Epoch 32 | Loss: 0.6153 | Acc: 0.63 | Val Acc: 0.54
Epoch 33 | Loss: 0.6109 | Acc: 0.64 | Val Acc: 0.55
Epoch 34 | Loss: 0.6064 | Acc: 0.64 | Val Acc: 0.55
Epoch 35 | Loss: 0.6018 | Acc: 0.65 | Val Acc: 0.54
Epoch 36 | Loss: 0.5982 | Acc: 0.65 | Val Acc: 0.54
Epoch 37 | Loss: 0.5939 | Acc: 0.65 | Val Acc: 0.55
Epoch 38 | Loss: 0.5887 | Acc: 0.66 | Val Acc: 0.55
Epoch 39 | Loss: 0.5852 | Acc: 0.66 | Val Acc: 0.54
Epoch 40 | Loss: 0.5813 | Acc: 0.67 | Val Acc: 0.55
Epoch 41 | Loss: 0.5767 | Acc: 0.67 | Val Acc: 0.55
Epoch 42 | Loss: 0.5730 | Acc: 0.67 | Val Acc: 0.55
Epoch 43 | Loss: 0.5698 | Acc: 0.68 | Val Acc: 0.55
Epoch 44 | Loss: 0.5645 | Acc: 0.68 | Val Acc: 0.55
Epoch 45 | Loss: 0.5591 | Acc: 0.68 | Val Acc: 0.55
Epoch 46 | Loss: 0.5566 | Acc: 0.69 | Val Acc: 0.54
Epoch 47 | Loss: 0.5523 | Acc: 0.69 | Val Acc: 0.55
Epoch 48 | Loss: 0.5494 | Acc: 0.69 | Val Acc: 0.55
Epoch 49 | Loss: 0.5434 | Acc: 0.70 | Val Acc: 0.55
Epoch 50 | Loss: 0.5403 | Acc: 0.70 | Val Acc: 0.55
