📊 DATASET LOADED | Mode: TRAIN | Samples: 203742
📊 DATASET LOADED | Mode: VAL | Samples: 43659
Epoch 1 | Loss: 0.6947 | Acc: 0.50 | Val Acc: 0.50
🌟 Best model saved! (Val Acc: 0.5006)
Epoch 2 | Loss: 0.6937 | Acc: 0.50 | Val Acc: 0.50
Epoch 3 | Loss: 0.6937 | Acc: 0.50 | Val Acc: 0.50
Epoch 4 | Loss: 0.6934 | Acc: 0.50 | Val Acc: 0.50
Epoch 5 | Loss: 0.6934 | Acc: 0.50 | Val Acc: 0.50
Epoch 6 | Loss: 0.6934 | Acc: 0.50 | Val Acc: 0.50
Epoch 7 | Loss: 0.6933 | Acc: 0.50 | Val Acc: 0.50
Epoch 8 | Loss: 0.6933 | Acc: 0.50 | Val Acc: 0.50
Epoch 9 | Loss: 0.6933 | Acc: 0.50 | Val Acc: 0.50
Epoch 10 | Loss: 0.6932 | Acc: 0.50 | Val Acc: 0.50
Epoch 11 | Loss: 0.6932 | Acc: 0.50 | Val Acc: 0.50
Epoch 12 | Loss: 0.6932 | Acc: 0.50 | Val Acc: 0.50
Epoch 13 | Loss: 0.6932 | Acc: 0.50 | Val Acc: 0.50
Epoch 14 | Loss: 0.6932 | Acc: 0.50 | Val Acc: 0.50
Epoch 15 | Loss: 0.6932 | Acc: 0.50 | Val Acc: 0.50
Epoch 16 | Loss: 0.6932 | Acc: 0.50 | Val Acc: 0.50
Epoch 17 | Loss: 0.6932 | Acc: 0.50 | Val Acc: 0.50
Epoch 18 | Loss: 0.6932 | Acc: 0.50 | Val Acc: 0.50
Epoch 19 | Loss: 0.6931 | Acc: 0.50 | Val Acc: 0.50
Epoch 20 | Loss: 0.6932 | Acc: 0.50 | Val Acc: 0.50
Epoch 21 | Loss: 0.6932 | Acc: 0.50 | Val Acc: 0.50
Epoch 22 | Loss: 0.6932 | Acc: 0.50 | Val Acc: 0.50
Epoch 23 | Loss: 0.6931 | Acc: 0.50 | Val Acc: 0.50
Epoch 24 | Loss: 0.6931 | Acc: 0.50 | Val Acc: 0.50
