nohup: ignoring input
[train] device       = cuda
[train] latent shape = (6, 4, 16, 16)
[train] Loading REAL data from processed dataset...
[SEEDDV_Dataset] train split: 203742 samples
[SEEDDV_Dataset] val split: 43659 samples
  epoch 001 step 0000 | loss = 1.100473
  epoch 001 step 0010 | loss = 0.884907
  epoch 001 step 0020 | loss = 0.744156
  epoch 001 step 0030 | loss = 0.927646
  epoch 001 step 0040 | loss = 1.005358
  epoch 001 step 0050 | loss = 0.833379
  epoch 001 step 0060 | loss = 0.438422
  epoch 001 step 0070 | loss = 0.965755
  epoch 001 step 0080 | loss = 0.983882
  epoch 001 step 0090 | loss = 0.744362
  epoch 001 step 0100 | loss = 1.104672
  epoch 001 step 0110 | loss = 0.593201
  epoch 001 step 0120 | loss = 0.242437
  epoch 001 step 0130 | loss = 0.314177
  epoch 001 step 0140 | loss = 0.574631
  epoch 001 step 0150 | loss = 0.212193
  epoch 001 step 0160 | loss = 0.241858
  epoch 001 step 0170 | loss = 0.212994
  epoch 001 step 0180 | loss = 0.271048
  epoch 001 step 0190 | loss = 0.900091
  epoch 001 step 0200 | loss = 0.920672
  epoch 001 step 0210 | loss = 0.159516
  epoch 001 step 0220 | loss = 0.767993
  epoch 001 step 0230 | loss = 0.541733
  epoch 001 step 0240 | loss = 0.909490
  epoch 001 step 0250 | loss = 0.541485
  epoch 001 step 0260 | loss = 0.884977
  epoch 001 step 0270 | loss = 0.137445
  epoch 001 step 0280 | loss = 0.207599
  epoch 001 step 0290 | loss = 0.127436
  epoch 001 step 0300 | loss = 0.113058
  epoch 001 step 0310 | loss = 0.125065
  epoch 001 step 0320 | loss = 1.055684
  epoch 001 step 0330 | loss = 0.989936
  epoch 001 step 0340 | loss = 1.030500
  epoch 001 step 0350 | loss = 0.113698
  epoch 001 step 0360 | loss = 0.849323
  epoch 001 step 0370 | loss = 0.088903
  epoch 001 step 0380 | loss = 0.372719
  epoch 001 step 0390 | loss = 0.720677
  epoch 001 step 0400 | loss = 0.087365
  epoch 001 step 0410 | loss = 0.440181
  epoch 001 step 0420 | loss = 0.855454
  epoch 001 step 0430 | loss = 0.076873
  epoch 001 step 0440 | loss = 0.091032
  epoch 001 step 0450 | loss = 0.109074
  epoch 001 step 0460 | loss = 0.123353
  epoch 001 step 0470 | loss = 0.077904
  epoch 001 step 0480 | loss = 0.815735
  epoch 001 step 0490 | loss = 0.747137
  epoch 001 step 0500 | loss = 0.246997
  epoch 001 step 0510 | loss = 0.587023
  epoch 001 step 0520 | loss = 0.087628
  epoch 001 step 0530 | loss = 0.070488
  epoch 001 step 0540 | loss = 1.039167
  epoch 001 step 0550 | loss = 0.150704
  epoch 001 step 0560 | loss = 0.065449
  epoch 001 step 0570 | loss = 0.575566
  epoch 001 step 0580 | loss = 0.698070
  epoch 001 step 0590 | loss = 1.014187
  epoch 001 step 0600 | loss = 0.067131
  epoch 001 step 0610 | loss = 0.941670
  epoch 001 step 0620 | loss = 0.366813
  epoch 001 step 0630 | loss = 0.062123
  epoch 001 step 0640 | loss = 0.439301
  epoch 001 step 0650 | loss = 0.230280
  epoch 001 step 0660 | loss = 0.068683
  epoch 001 step 0670 | loss = 0.359124
  epoch 001 step 0680 | loss = 0.051296
  epoch 001 step 0690 | loss = 1.009352
  epoch 001 step 0700 | loss = 0.180213
  epoch 001 step 0710 | loss = 0.446580
  epoch 001 step 0720 | loss = 0.995091
  epoch 001 step 0730 | loss = 0.270954
  epoch 001 step 0740 | loss = 0.748489
  epoch 001 step 0750 | loss = 0.209149
  epoch 001 step 0760 | loss = 0.048236
  epoch 001 step 0770 | loss = 0.263565
  epoch 001 step 0780 | loss = 0.046933
  epoch 001 step 0790 | loss = 0.431822
  epoch 001 step 0800 | loss = 0.700242
  epoch 001 step 0810 | loss = 0.089360
  epoch 001 step 0820 | loss = 0.044119
  epoch 001 step 0830 | loss = 0.997563
  epoch 001 step 0840 | loss = 0.067463
  epoch 001 step 0850 | loss = 0.044980
  epoch 001 step 0860 | loss = 0.817944
  epoch 001 step 0870 | loss = 0.923102
  epoch 001 step 0880 | loss = 0.540951
  epoch 001 step 0890 | loss = 0.702036
  epoch 001 step 0900 | loss = 0.903900
  epoch 001 step 0910 | loss = 0.088150
  epoch 001 step 0920 | loss = 0.505143
  epoch 001 step 0930 | loss = 0.078030
  epoch 001 step 0940 | loss = 0.571711
  epoch 001 step 0950 | loss = 0.419455
  epoch 001 step 0960 | loss = 0.064051
  epoch 001 step 0970 | loss = 0.908527
  epoch 001 step 0980 | loss = 0.588463
  epoch 001 step 0990 | loss = 0.391200
  epoch 001 step 1000 | loss = 0.310174
  epoch 001 step 1010 | loss = 0.064765
  epoch 001 step 1020 | loss = 0.561425
  epoch 001 step 1030 | loss = 0.202813
  epoch 001 step 1040 | loss = 0.796923
  epoch 001 step 1050 | loss = 0.608789
  epoch 001 step 1060 | loss = 0.052876
  epoch 001 step 1070 | loss = 0.038239
  epoch 001 step 1080 | loss = 0.335198
  epoch 001 step 1090 | loss = 0.057050
  epoch 001 step 1100 | loss = 0.647478
  epoch 001 step 1110 | loss = 0.101998
  epoch 001 step 1120 | loss = 0.567455
  epoch 001 step 1130 | loss = 0.145228
  epoch 001 step 1140 | loss = 0.132334
  epoch 001 step 1150 | loss = 1.004332
  epoch 001 step 1160 | loss = 0.698572
  epoch 001 step 1170 | loss = 0.094171
  epoch 001 step 1180 | loss = 0.047463
  epoch 001 step 1190 | loss = 0.150078
  epoch 001 step 1200 | loss = 0.500374
  epoch 001 step 1210 | loss = 0.427247
  epoch 001 step 1220 | loss = 0.980425
  epoch 001 step 1230 | loss = 0.490979
  epoch 001 step 1240 | loss = 0.836925
  epoch 001 step 1250 | loss = 0.066223
  epoch 001 step 1260 | loss = 0.031503
  epoch 001 step 1270 | loss = 0.058078
  epoch 001 step 1280 | loss = 0.946362
  epoch 001 step 1290 | loss = 0.030336
  epoch 001 step 1300 | loss = 0.042964
  epoch 001 step 1310 | loss = 0.950537
  epoch 001 step 1320 | loss = 0.208630
  epoch 001 step 1330 | loss = 0.033232
  epoch 001 step 1340 | loss = 0.981505
  epoch 001 step 1350 | loss = 0.647701
  epoch 001 step 1360 | loss = 0.457817
  epoch 001 step 1370 | loss = 0.985125
  epoch 001 step 1380 | loss = 0.665590
  epoch 001 step 1390 | loss = 0.391932
  epoch 001 step 1400 | loss = 0.042018
  epoch 001 step 1410 | loss = 0.555043
  epoch 001 step 1420 | loss = 0.455203
  epoch 001 step 1430 | loss = 0.270160
  epoch 001 step 1440 | loss = 0.131325
  epoch 001 step 1450 | loss = 0.448223
  epoch 001 step 1460 | loss = 0.674562
  epoch 001 step 1470 | loss = 0.702075
  epoch 001 step 1480 | loss = 0.820684
  epoch 001 step 1490 | loss = 0.032580
  epoch 001 step 1500 | loss = 0.452522
  epoch 001 step 1510 | loss = 0.999601
  epoch 001 step 1520 | loss = 0.155344
  epoch 001 step 1530 | loss = 0.634173
  epoch 001 step 1540 | loss = 0.072107
  epoch 001 step 1550 | loss = 0.323581
  epoch 001 step 1560 | loss = 0.907460
  epoch 001 step 1570 | loss = 0.091635
  epoch 001 step 1580 | loss = 0.075752
  epoch 001 step 1590 | loss = 0.111422
  epoch 001 step 1600 | loss = 0.055425
  epoch 001 step 1610 | loss = 0.755465
  epoch 001 step 1620 | loss = 0.673663
  epoch 001 step 1630 | loss = 0.352938
  epoch 001 step 1640 | loss = 0.984249
  epoch 001 step 1650 | loss = 0.505705
  epoch 001 step 1660 | loss = 0.027754
  epoch 001 step 1670 | loss = 0.313915
  epoch 001 step 1680 | loss = 0.029917
  epoch 001 step 1690 | loss = 0.382320
  epoch 001 step 1700 | loss = 0.784925
  epoch 001 step 1710 | loss = 0.568641
  epoch 001 step 1720 | loss = 0.399355
  epoch 001 step 1730 | loss = 0.387430
  epoch 001 step 1740 | loss = 0.150132
  epoch 001 step 1750 | loss = 0.309544
  epoch 001 step 1760 | loss = 0.222301
  epoch 001 step 1770 | loss = 0.200823
  epoch 001 step 1780 | loss = 1.017389
  epoch 001 step 1790 | loss = 0.057682
  epoch 001 step 1800 | loss = 0.316581
  epoch 001 step 1810 | loss = 0.674182
  epoch 001 step 1820 | loss = 0.509633
  epoch 001 step 1830 | loss = 0.027193
  epoch 001 step 1840 | loss = 0.224753
  epoch 001 step 1850 | loss = 0.028335
  epoch 001 step 1860 | loss = 0.027736
  epoch 001 step 1870 | loss = 0.026438
  epoch 001 step 1880 | loss = 0.288072
  epoch 001 step 1890 | loss = 0.928364
  epoch 001 step 1900 | loss = 0.076142
  epoch 001 step 1910 | loss = 0.048116
  epoch 001 step 1920 | loss = 0.756803
  epoch 001 step 1930 | loss = 0.033766
  epoch 001 step 1940 | loss = 0.080570
  epoch 001 step 1950 | loss = 0.553230
  epoch 001 step 1960 | loss = 0.064798
  epoch 001 step 1970 | loss = 0.030337
  epoch 001 step 1980 | loss = 0.773353
  epoch 001 step 1990 | loss = 0.797647
  epoch 001 step 2000 | loss = 0.025718
  epoch 001 step 2010 | loss = 0.295344
  epoch 001 step 2020 | loss = 0.852844
  epoch 001 step 2030 | loss = 0.726456
  epoch 001 step 2040 | loss = 0.352214
  epoch 001 step 2050 | loss = 0.300042
  epoch 001 step 2060 | loss = 0.027476
  epoch 001 step 2070 | loss = 0.703636
  epoch 001 step 2080 | loss = 0.156828
  epoch 001 step 2090 | loss = 0.880091
  epoch 001 step 2100 | loss = 0.775828
  epoch 001 step 2110 | loss = 0.373501
  epoch 001 step 2120 | loss = 0.432651
  epoch 001 step 2130 | loss = 0.028740
  epoch 001 step 2140 | loss = 0.610936
  epoch 001 step 2150 | loss = 0.289104
  epoch 001 step 2160 | loss = 0.113635
  epoch 001 step 2170 | loss = 0.308393
